Offer Name,Offer Period,Commission Rate,Offer Link,Trackable Link_short
Mob³_,"start: 2026-01-12
end: No limit",up to 51%,https://shopee.com.br/shop/218319706,https://s.shopee.com.br/2BEpuj4Aw8
Bella mix store's,"start: 2026-01-18
end: No limit",up to 51%,https://shopee.com.br/shop/1008422328,https://s.shopee.com.br/20vPiQ4oH7
TG Closet,"start: 2026-01-17
end: No limit",up to 51%,https://shopee.com.br/shop/318009067,https://s.shopee.com.br/2VrgJL2uGE
Rei das Tampas,"start: 2025-05-26
end: No limit",up to 51%,https://shopee.com.br/shop/344264021,https://s.shopee.com.br/2LYG723XbD
JMS NUTRITION,"start: 2025-12-02
end: No limit",up to 50%,https://shopee.com.br/shop/1017570667,https://s.shopee.com.br/2qUWhx1daK
M.MShoes,"start: 2026-01-28
end: No limit",up to 50%,https://shopee.com.br/shop/365565963,https://s.shopee.com.br/2gB6Ve2GvJ
"Cha""rmozza Pharma","start: 2025-08-05
end: No limit",up to 49%,https://shopee.com.br/shop/593088133,https://s.shopee.com.br/3B7N6Z0MuQ
Coisê Cama Mesa e Banho,"start: 2026-07-23
end: No limit",up to 49%,https://shopee.com.br/shop/1573388099,https://s.shopee.com.br/30nwuG10FP
Multi_Pisos ltda,"start: 2026-08-04
end: No limit",up to 49%,https://shopee.com.br/shop/1649546785,https://s.shopee.com.br/3VkDVAz6EW
MSC Soluções,"start: 2025-12-16
end: No limit",up to 49%,https://shopee.com.br/shop/1446840126,https://s.shopee.com.br/3LQnIrzjZV
loja virtual popular,"start: 2025-09-26
end: No limit",up to 49%,https://shopee.com.br/shop/1028562656,https://s.shopee.com.br/3qN3tmxpYc
Aura Bella Saúde e Bem Estar,"start: 2026-06-15
end: No limit",up to 48%,https://shopee.com.br/shop/518348333,https://s.shopee.com.br/3g3dhTyStb
Beleza Joias & Cosméticos,"start: 2025-12-11
end: No limit",up to 48%,https://shopee.com.br/shop/734931653,https://s.shopee.com.br/4AzuIOwYsi
Detra Cosmeticos - Loja Oficial,"start: 2025-05-08
end: No limit",up to 48%,https://shopee.com.br/shop/740912579,https://s.shopee.com.br/40gU65xCDh
BAUME_COSMETICOS,"start: 2024-07-01
end: No limit",up to 48%,https://shopee.com.br/shop/955047548,https://s.shopee.com.br/4Vckh0vICo
Saboaria Flor De Tangerina,"start: 2025-05-19
end: No limit",up to 48%,https://shopee.com.br/shop/478709128,https://s.shopee.com.br/4LJKUhvvXn
Latzi,"start: 2025-10-31
end: No limit",up to 48%,https://shopee.com.br/shop/681967866,https://s.shopee.com.br/4qFb5cu1Wu
Papel Art Papelaria e Gráfica,"start: 2025-10-14
end: No limit",up to 48%,https://shopee.com.br/shop/819590793,https://s.shopee.com.br/4fwAtJuert
DENIM&CO.,"start: 2024-10-19
end: No limit",up to 48%,https://shopee.com.br/shop/994941429,https://s.shopee.com.br/5AsRUEskr0
Bio-Natuus,"start: 2025-07-25
end: No limit",up to 47%,https://shopee.com.br/shop/1443652109,https://s.shopee.com.br/50Z1HvtOBz
LK Auto Care,"start: 2026-06-23
end: No limit",up to 47%,https://shopee.com.br/shop/999160347,https://s.shopee.com.br/5LBrgXs7W4
Pro Health Suplementos,"start: 2025-12-15
end: No limit",up to 46%,https://shopee.com.br/shop/1467752609,https://s.shopee.com.br/5VVHsqrUB7
Atelie Kelli Oliveira,"start: 2025-10-06
end: No limit",up to 46%,https://shopee.com.br/shop/312280297,https://s.shopee.com.br/5foi59qqqA
GOZYNF STORE,"start: 2026-02-11
end: No limit",up to 46%,https://shopee.com.br/shop/984431556,https://s.shopee.com.br/5q88HSqDVD
CASAS ROMEIRO,"start: 2025-09-09
end: No limit",up to 46%,https://shopee.com.br/shop/407628604,https://s.shopee.com.br/60RYTlpaAG
Lira Modas 333,"start: 2026-08-27
end: No limit",up to 45%,https://shopee.com.br/shop/451641644,https://s.shopee.com.br/6Akyg4owpJ
IMPÉRIO DA LU,"start: 2025-11-21
end: No limit",up to 45%,https://shopee.com.br/shop/1304301201,https://s.shopee.com.br/6L4OsNoJUM
RN DECCOR,"start: 2026-05-28
end: No limit",up to 45%,https://shopee.com.br/shop/1341777269,https://s.shopee.com.br/6VNp4gng9P
B.E CONFECÇÃO,"start: 2025-07-12
end: No limit",up to 45%,https://shopee.com.br/shop/1305386792,https://s.shopee.com.br/6fhFGzn2oS
Loja Shop Natural,"start: 2025-09-17
end: No limit",up to 44%,https://shopee.com.br/shop/1528297654,https://s.shopee.com.br/6q0fTImPTV
Vicbela Oficial,"start: 2024-03-20
end: No limit",up to 44%,https://shopee.com.br/shop/343817613,https://s.shopee.com.br/70K5fblm8Y
STEP EVOLUTION,"start: 2025-09-11
end: No limit","up to 43,2%",https://shopee.com.br/shop/1184888270,https://s.shopee.com.br/7AdVrul8nb
LD TRICOT MODA,"start: 2026-08-28
end: No limit",up to 43%,https://shopee.com.br/shop/1856103040,https://s.shopee.com.br/7Kww4DkVSe
